江西广电,#genre#
CCTV1HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000105&playtype=live&protocol=http&playtoken=&auth=no
CCTV2HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000137&playtype=live&protocol=http&playtoken=&auth=no
CCTV3HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000131&playtype=live&protocol=http&playtoken=&auth=no
CCTV4HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000122&playtype=live&protocol=http&playtoken=&auth=no
CCTV5HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000132&playtype=live&protocol=http&playtoken=&auth=no
CCTV5+,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000106&playtype=live&protocol=http&playtoken=&auth=no
CCTV6HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000133&playtype=live&protocol=http&playtoken=&auth=no
CCTV7HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000138&playtype=live&protocol=http&playtoken=&auth=no
CCTV8HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000134&playtype=live&protocol=http&playtoken=&auth=no
CCTV9HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000139&playtype=live&protocol=http&playtoken=&auth=no
